,name,system,lam_ori,lam_ori_up,lam_ori_down,lambda,lambda_up,lambda_down,lambda_ref_link,vsini,vsini_up,vsini_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,period,period_up,period_down,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,ecc,ecc_up,ecc_down,age,age_up,age_down,prot_lit,prot_lit_up,prot_lit_down,prot_lit_ref_link,istar_lit,istar_lit_up,istar_lit_down,istar_lit_ref_link,psi_lit,psi_lit_up,psi_lit_down,psi_lit_ref_link,psi_lit_flag,psi_lit_comment
0,AUMicb,AU Mic,-4.699999809265136,6.800000190734863,6.400000095367431,4.699999809265136,6.400000095367431,6.800000190734863,https://ui.adsabs.harvard.edu/abs/arXiv:2006.13243,9.229999542236328,0.790000021457672,0.310000002384185,3700,100,100,0.5,0.029999999999999003,0.029999999999999003,0.75,0.029999999999999003,0.029999999999999003,8.463,0.0,0.0,18.923917736825462,2.145078635897628,2.415479158818163,0.05399999999999901,0.014,0.014,0.375,0.017999999999999003,0.017999999999999003,0.1,0.17,0.08999999999999901,0.021999999999999003,0.003,0.003,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
1,BetaPICb,Beta PIC,3.0,5.0,5.0,3.0,5.0,5.0,https://ui.adsabs.harvard.edu/abs/2020ApJ...897L...8K,130.0,10.0,10.0,8200,200,200,1.850000023841857,0.029999999329447004,0.03999999910593,1.8700000047683711,0.032000001519918005,0.032000001519918005,8202.0,1376.0,95.0,2077.3300606560674,240.84983749515905,137.62836137869928,12.899999618530273,0.20000000298023202,0.20000000298023202,1.460000038146972,0.009999999776482001,0.009999999776482001,0.08,0.091000003814697,0.052999999299645,0.012000000104308002,0.008000000379979,0.004000000189989,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
2,CoRoT-11b,CoRoT-11,0.10000000149011601,2.599999904632568,2.599999904632568,0.10000000149011601,2.599999904632568,2.599999904632568,https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G,38.470001220703125,0.070000000298023,0.070000000298023,6343,72,72,1.26,0.14,0.14,1.374,0.060999999999999006,0.060999999999999006,2.994,0.0,0.0,6.886432946443034,0.395194390033869,0.395194390033869,2.339999999999999,0.39,0.39,1.425999999999999,0.057,0.057,0.0,0.35999999999999904,0.0,2.660000085830688,1.6200000047683711,1.6200000047683711,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
3,CoRoT-18b,CoRoT-18,-10.0,20.0,20.0,10.0,20.0,20.0,https://ui.adsabs.harvard.edu/abs/2011A&A...533A.130H,8.0,1.0,1.0,5440,100,100,0.88,0.07,0.07,0.8830000000000001,0.025,0.031,1.899999999999999,0.0,0.0,7.013909590504648,0.278197385209207,0.313996654735617,3.299999999999999,0.19,0.19,1.145999999999999,0.039,0.048,0.0,0.025,0.0,10.6899995803833,3.819999933242797,3.819999933242797,5.400000095367431,0.40000000596046403,0.40000000596046403,https://ui.adsabs.harvard.edu/abs/2011A&A...533A.130H,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,20.0,20.0,20.0,https://ui.adsabs.harvard.edu/abs/2011A&A...533A.130H,1,"P rot seems OK, pre Masuda & Winn"
4,CoRoT-2b,CoRoT-2,-1.0,6.0,7.699999809265136,1.0,7.699999809265136,6.0,https://ui.adsabs.harvard.edu/abs/2012A&A...539A.150C,11.25,0.44999998807907104,0.44999998807907104,5598,50,50,0.997,0.049,0.049,0.901,0.019,0.019,1.743,0.0,0.0,6.766384167074486,0.18150267365057102,0.18150267365057102,3.569999999999999,0.14999999999999902,0.14999999999999902,1.46,0.031,0.031,0.0,0.024,0.0,2.660000085830688,1.6200000047683711,1.6200000047683711,4.522,0.024,0.024,https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B,84.0,36.0,36.0,https://ui.adsabs.harvard.edu/abs/2012A&A...539A.150C,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
5,CoRoT-3b,CoRoT-3,-37.599998474121094,22.299999237060547,10.0,37.599998474121094,10.0,22.299999237060547,https://ui.adsabs.harvard.edu/abs/2009A&A...506..377T,17.0,1.0,1.0,6558,44,44,1.403,0.060999999999999006,0.060999999999999006,1.5750000000000002,0.094,0.094,4.256999999999999,0.0,0.0,7.8958886199178675,0.49460127576156004,0.475972074295025,21.96,0.7029999999999991,0.7029999999999991,1.036999999999999,0.069,0.069,0.0,0.016,0.0,2.2,0.5999999999999991,0.5999999999999991,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
6,DS Tucanaeb,DS Tuc,2.930000066757202,0.8799999952316281,0.870000004768371,2.930000066757202,0.8799999952316281,0.870000004768371,https://ui.adsabs.harvard.edu/abs/arXiv:1912.04095,20.579999923706055,0.310000002384185,0.23999999463558103,5598,28,59,0.9589999999999991,0.031,0.031,0.872,0.027,0.027,8.137999999999998,0.0,0.0,16.079999923706055,0.319999992847442,0.280000001192092,0.088096913515221,0.11012114189402701,0.040902138417781,0.5,0.02,0.02,0.0,1.0,1.0,0.044999999999999006,0.004,0.004,2.849999904632568,0.03999999910593,0.050000000745058004,https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
7,EPIC246851721b,EPIC 246851721,-1.480000019073486,0.850000023841857,0.850000023841857,1.480000019073486,0.850000023841857,0.850000023841857,https://ui.adsabs.harvard.edu/abs/arXiv:1807.10298,74.91999816894531,0.620000004768371,0.600000023841857,6202,52,50,1.324,0.04,0.04,1.624,0.035999999999999005,0.035,6.179999999999999,0.0,0.0,9.585635950576544,0.232897996375644,0.22864794194100002,3.0,1.100000023841857,1.200000047683715,1.004,0.048,0.049,0.0,1.0,1.0,3.02,0.44,0.46,1.151999950408935,0.023000000044703,0.023000000044703,https://ui.adsabs.harvard.edu/abs/arXiv:1807.10298,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,3.399999999999999,3.5,1.6,https://ui.adsabs.harvard.edu/abs/arXiv:1807.10298,1,-
8,GJ436b,GJ 436,72.0,33.0,24.0,72.0,33.0,24.0,https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,0.330000013113021,0.09099999815225601,0.065999999642372,3416,54,54,0.507,0.07099999999999901,0.062,0.455,0.017999999999999003,0.017999999999999003,2.644,0.0,0.0,14.55685979755805,0.842102210741776,0.8082650929666001,0.079899999999999,0.0066,0.0063,0.36599999999999905,0.014,0.014,0.16159999999999902,0.0041,0.0032,6.0,2.0,2.0,44.09000015258789,0.07999999821186,0.07999999821186,https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,80.0,21.0,18.0,https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,2,based on diff. phot. and Ca IIH&K Halpha
9,HAT-P-11b,HAT-P-11,103.0,26.0,10.0,103.0,26.0,10.0,https://ui.adsabs.harvard.edu/abs/2010ApJ...723L.223W,1.0,0.949999988079071,0.560000002384185,4780,50,50,0.802,0.028,0.028,0.683,0.008999999999999,0.008999999999999,4.887999999999999,0.0,0.0,16.55811316683833,0.29276759876658004,0.29276759876658004,0.0873,0.0097,0.0097,0.389,0.0053,0.0053,0.2644,0.0005999999999990001,0.0005999999999990001,6.5,5.900000095367431,4.099999904632568,29.31999969482422,0.0,0.0,https://ui.adsabs.harvard.edu/abs/2014ApJ...788....1B,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,97.0,8.0,4.0,https://ui.adsabs.harvard.edu/abs/2010ApJ...723L.223W,2,
